"Prenom";"Nom";"SamAccountName";"Email";"Password";"Groupe";"OUPath";"Categorie";"HeuresConnexion"
"Alexandre";"Robert";"alexandre.robert1";"alexandre.robert1@mediaschool.local";"h>VV59He)Bta";"enseignant-emile-zola";"OU=emile-zola,OU=Professeurs,DC=Mediaschool,DC=local";"enseignant";"08h-18h"
"Nathalie";"Fournier";"nathalie.fournier2";"nathalie.fournier2@mediaschool.local";"h>VV59He)Bta";"enseignant-emile-zola";"OU=emile-zola,OU=Professeurs,DC=Mediaschool,DC=local";"enseignant";"08h-18h"
"Claire";"Richard";"claire.richard1";"claire.richard1@mediaschool.local";"h>VV59He)Bta";"direction-emile-zola";"OU=emile-zola,OU=Professeurs,DC=Mediaschool,DC=local";"direction";"08h-18h"
"David";"Bertrand";"david.bertrand2";"david.bertrand2@mediaschool.local";"h>VV59He)Bta";"direction-emile-zola";"OU=emile-zola,OU=Professeurs,DC=Mediaschool,DC=local";"direction";"08h-18h"
"Laura";"Petit";"laura.petit1";"laura.petit1@mediaschool.local";"h>VV59He)Bta";"enseignant-louise-michel";"OU=louise-michel,OU=Professeurs,DC=Mediaschool,DC=local";"enseignant";"08h-18h"
"Julien";"Roux";"julien.roux2";"julien.roux2@mediaschool.local";"h>VV59He)Bta";"enseignant-louise-michel";"OU=louise-michel,OU=Professeurs,DC=Mediaschool,DC=local";"enseignant";"08h-18h"
"Philippe";"Richard";"philippe.richard1";"philippe.richard1@mediaschool.local";"h>VV59He)Bta";"direction-louise-michel";"OU=louise-michel,OU=Professeurs,DC=Mediaschool,DC=local";"direction";"08h-18h"
"Sarah";"Dubois";"sarah.dubois2";"sarah.dubois2@mediaschool.local";"h>VV59He)Bta";"direction-louise-michel";"OU=louise-michel,OU=Professeurs,DC=Mediaschool,DC=local";"direction";"08h-18h"
"Laura";"Dubois";"laura.dubois1";"laura.dubois1@mediaschool.local";"h>VV59He)Bta";"administratifs-mediaschool";"OU=Administratifs,DC=Mediaschool,DC=local";"Administratif";"06h-20h"
"Claire";"Bertrand";"claire.bertrand2";"claire.bertrand2@mediaschool.local";"h>VV59He)Bta";"administratifs-mediaschool";"OU=Administratifs,DC=Mediaschool,DC=local";"Administratif";"06h-20h"
"Isabelle";"Thomas";"isabelle.thomas3";"isabelle.thomas3@mediaschool.local";"h>VV59He)Bta";"administratifs-mediaschool";"OU=Administratifs,DC=Mediaschool,DC=local";"Administratif";"06h-20h"
